"ip","name","id","region","platform","systemService"
"4.145.74.52/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.149.254.68/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.150.239.212/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.151.103.92/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.171.31.152/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.190.136.180/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.200.251.84/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.202.253.100/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.206.229.96/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.207.242.64/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.216.204.200/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.218.236.160/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.219.249.220/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.220.138.104/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.232.48.104/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.232.106.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.240.148.92/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.243.28.116/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"4.248.83.192/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"9.160.80.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"9.205.75.32/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.66.143.220/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.67.10.124/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.69.109.132/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.71.199.112/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.77.53.216/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.78.109.156/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.86.221.220/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.87.32.30/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.106.38.142/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.106.38.148/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.106.54.3/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.106.54.19/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.106.57.181/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"13.106.57.196/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.17.63.212/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.17.66.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.17.124.64/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.17.130.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.21.42.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.38.133.4/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.38.149.132/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.42.64.36/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.43.121.124/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.44.17.220/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.45.123.236/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.52.95.254/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.53.1.68/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.53.62.100/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.69.8.102/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.72.27.152/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.88.72.40/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.90.38.38/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.91.100.232/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.92.5.114/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.99.31.224/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.105.215.20/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.111.76.188/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.116.43.108/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.117.193.34/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.118.78.36/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.119.28.220/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.125.4.168/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.135.70.51/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.135.74.3/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.150.172.228/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.164.158.200/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.167.131.224/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.168.188.36/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.170.175.8/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.192.238.124/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.193.96.28/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.193.202.4/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.195.87.54/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.199.201.66/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.199.207.184/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.203.88.62/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.203.93.200/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.204.192.216/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.204.199.124/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.207.175.176/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.208.157.48/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.210.69.140/31","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.213.228.120/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.215.74.56/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.215.154.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.217.8.56/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.217.58.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"20.252.215.0/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"23.97.93.60/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"23.100.222.168/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"40.64.15.124/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"40.69.111.196/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"40.74.102.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"48.193.50.96/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"48.196.97.160/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"48.197.94.96/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"48.198.97.160/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"48.203.152.24/29","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"48.216.8.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"48.219.232.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.4.160.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.4.224.16/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.12.101.172/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.12.204.244/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.53.40.144/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.53.106.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.53.139.92/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.53.186.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.57.176.156/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.104.9.100/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.107.193.28/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.138.160.220/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"51.140.215.184/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"52.147.98.52/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"52.172.87.0/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"52.240.244.140/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"68.154.136.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"68.210.152.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"68.211.152.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"68.218.131.40/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"68.221.44.44/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"68.221.98.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"70.153.176.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"74.7.80.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"74.7.216.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"74.243.155.0/29","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"74.249.127.180/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"98.66.132.188/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"98.67.183.188/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"104.47.217.71/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"104.47.217.87/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"104.47.217.151/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"104.47.240.167/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"104.47.240.183/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"104.47.240.215/32","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"104.214.165.80/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"108.140.5.168/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"134.138.95.196/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"134.138.99.4/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"158.23.10.88/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"158.23.119.232/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"168.61.142.52/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"168.61.239.12/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.129.89.44/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.160.216.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.164.208.220/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.182.164.108/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.183.4.112/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.187.32.16/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.187.67.44/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.191.219.248/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.194.86.168/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.194.112.244/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.198.114.96/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.201.232.60/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
